"movieNm","salesAcc","movieCd","salesAmt","salesShare","salesInten","salesChange","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt","genreNm","dir_peopleNm","act_peopleNm1","act_peopleNm2","watchGradeNm"
다이애나,350704200,20133603,31374300,2.5,-1241800,-3.8,4704,-243,-4.9,48977,246,655,드라마,올리버 히르비겔,나오미 왓츠,나빈 앤드류스,"15세이상관람가"
다이하드: 굿 데이 투 다이,10795003500,20123387,40916000,1.3,5405500,15.2,6014,779,14.9,1433497,168,416,액션,존 무어,브루스 윌리스,제이 코트니,"15세이상관람가"
다크 나이트,28119869460,20081056,31271900,6.8,-38519540,-55.2,3987,-4917,-55.2,4217526,343,527,범죄,크리스토퍼 놀란,크리스찬 베일,마이클 케인,"15세이상관람가"
다크 나이트 라이즈,47833003820,20112703,50216560,4,19684340,64.5,6293,2481,65.1,6418608,317,544,액션,크리스토퍼 놀란,크리스찬 베일,게리 올드만,"15세이상관람가"
다크 섀도우,4272464500,20125866,7786000,0.3,-37346500,-82.7,1195,-5157,-81.2,574874,52,127,드라마,팀 버튼,조니 뎁,미셀 파이퍼,"15세이상관람가"
다크 플레이스,503006654,20156301,44584800,1.7,663300,1.5,5824,40,0.7,62800,248,546,드라마,질스 파겟-브레너,샤를리즈 테론,제니퍼 피어스 매서스,청소년관람불가
다크 하우스,261609100,20175982,22364100,1.4,-25181100,-53,2949,-2636,-47.2,31914,231,425,공포(호러),대런 린 보우즈만,제시카 론디스,조 앤더슨,청소년관람불가
다크아워,1165058500,20113652,37259500,2,-45162500,-54.8,4931,-5507,-52.8,142322,215,650,SF,크리스 고락,에밀 허쉬,올리비아 썰비,"12세이상관람가"
다크타워: 희망의 탑,500361575,20170022,154917327,1.8,15618779,11.2,18812,1849,10.9,63641,448,947,액션,니콜라이 아르셀,이드리스 엘바,매튜 매커너히,"15세이상관람가"
닥터,465211500,20120103,41710500,1.8,1690500,4.2,6156,296,5.1,63719,161,525,스릴러,김성홍,김창완,배소은,청소년관람불가
닥터 두리틀,13194750410,20199581,122690960,0.9,-1613560,-1.3,13743,91,0.7,1573163,313,468,판타지,스티븐 개건,로버트 다우니 주니어,톰 홀랜드,전체관람가
닥터 스트레인지,47444960396,20163181,22359000,1.1,2964800,15.3,2995,437,17.1,5441786,123,205,액션,스콧 데릭슨,베네딕트 컴버배치,자라 피티안,"12세이상관람가"
닥터 스트레인지: 대혼돈의 멀티버스,62627549410,20212855,7209400,0.3,-376470,-5,738,-3,-0.4,5882497,26,45,액션,샘 레이미,베네딕트 컴버배치,엘리자베스 올슨,"12세이상관람가"
닥터 슬립,458532020,20193801,48530780,2.3,-69624450,-58.9,5924,-7109,-54.5,52267,457,900,스릴러,마이크 플래너건,이완 맥그리거,레베카 퍼거슨,"15세이상관람가"
단지 세상의 끝,84049600,20163186,21956100,0.2,5274000,31.6,2628,609,30.2,10606,114,163,드라마,자비에 돌란,나탈리 베이,뱅상 카셀,"15세이상관람가"
달라스 바이어스 클럽,332030943,20147625,25611300,2,-2016700,-7.3,3426,-251,-6.8,41164,133,332,드라마,장 마크 발레,매튜 매커너히,제니퍼 가너,청소년관람불가
달빛궁궐,812411200,20166541,126670200,1,59387700,88.3,16770,8050,92.3,106720,270,370,애니메이션,김현주,김서영,이하늬,전체관람가
달팽이의 별,79784300,20100752,3999000,0.2,-1516500,-27.5,655,-261,-28.5,11583,24,32,다큐멘터리,이승준,조영찬,김순호,전체관람가
담보,14679840390,20199816,24573030,3,-86090,-0.3,2847,-163,-5.4,1710242,335,557,드라마,강대규,성동일,하지원,"12세이상관람가"
당갈,759052300,20182561,11826000,0.3,-6859400,-36.7,1609,-756,-32,90801,72,116,액션,니테쉬 티와리,아미르 칸,파티마 사나 셰이크,"12세이상관람가"
"당신, 거기 있어줄래요",9165307248,20152371,166222000,1.7,-30383700,-15.5,18630,-4126,-18.1,1143445,261,572,판타지,홍지영,김윤석,변요한,"12세이상관람가"
대결,207626500,20162022,25264500,2.1,-18173800,-41.8,3456,-1841,-34.8,26726,334,831,액션,신동엽,이주승,오지호,"15세이상관람가"
대니 콜린스,356524105,20153025,26280400,1.5,-370800,-1.4,3537,-34,-1,47398,269,557,드라마,댄 포겔맨,알 파치노,아네트 베닝,"15세이상관람가"
대니쉬 걸,432813984,20155020,105171400,1.3,-6828648,-6.1,12559,-911,-6.8,53132,228,423,드라마,톰 후퍼,에디 레드메인,알리시아 비칸데르,청소년관람불가
대립군,6243907802,20169348,56013500,1.7,48498000,645.3,13750,12556,1051.6,832111,91,98,드라마,정윤철,이정재,여진구,"15세이상관람가"
대무가,409579054,20208101,85189416,3.8,-8093190,-8.7,9334,-761,-7.5,43628,564,1210,드라마,이한종,박성웅,양현민,"15세이상관람가"
대배우,1154317728,20150902,57610400,7.3,-11165900,-16.2,8035,-1964,-19.6,156791,423,1372,코미디,석민우,오달수,구용완,"12세이상관람가"
대장 김창수,2833495615,20164424,36897600,1.8,1843400,5.3,5347,-146,-2.7,374290,316,546,드라마,이원태,조진웅,송승헌,"12세이상관람가"
대호,13327898732,20145171,60774200,2.5,-1453400,-2.3,8379,-151,-1.8,1739758,324,581,사극,박훈정,최민식,정만식,"12세이상관람가"
댄싱퀸,30103427000,20113743,10772500,0.6,-1423000,-11.7,1612,-260,-13.9,4053696,89,178,코미디,이석훈,황정민,엄정화,"12세이상관람가"
더 건맨,761375665,20157904,46815800,4.7,-23838000,-33.7,6529,-3227,-33.1,97879,324,1129,액션,피에르 모렐,숀 펜,하비에르 바르뎀,청소년관람불가
더 그레이,2195227500,20124021,43912500,2.4,-358000,-0.8,6157,-31,-0.5,291707,209,601,액션,조 카나한,리암 니슨,더못 멀로니,"15세이상관람가"
더 기버: 기억전달자,728677100,20149099,53097100,1.9,-3874800,-6.8,7244,-585,-7.5,94998,215,522,SF,필립 노이스,브렌튼 스웨이츠,테일러 스위프트,"12세이상관람가"
더 넌,8721655345,20189262,25463250,0.2,-3656350,-12.6,2854,-498,-14.9,1004980,97,141,공포(호러),코린 하디,타이사 파미가,데미안 비쉬어,"15세이상관람가"
더 랍스터,126734100,20150862,39521200,0.8,-246000,-0.6,4584,-90,-1.9,15308,69,134,판타지,요르고스 란티모스,콜린 파렐,레이첼 와이즈,청소년관람불가
더 레이븐,901240500,20113821,89667000,3.4,9234500,11.5,12723,1197,10.4,123046,245,981,스릴러,제임스 맥티그,존 쿠삭,루크 에반스,청소년관람불가
더 레이서,62355840,20215221,9108340,0.6,-1237550,-12,1123,-152,-11.9,7593,137,164,드라마,키에론 J 월쉬,루이스 탈페,마테오 시모니,"15세이상관람가"
더 렌탈 : 소리없는 감시자,55865780,20202204,3210500,1,-5043400,-61.1,394,-485,-55.2,6952,123,157,공포(호러),데이브 프랑코,댄 스티븐스,알리슨 브리,"15세이상관람가"
더 바디,392046200,20148129,36776200,1.8,-77160200,-67.7,4939,-9662,-66.2,51067,150,360,스릴러,오리올 파울로,벨렌 루에다,오라 가리도,"15세이상관람가"
더 박스,879128490,20216673,11321000,3.1,-2199060,-16.3,1587,-424,-21.1,112200,24,26,드라마,양정웅,찬열,조달환,"12세이상관람가"
더 배트맨,9156382770,20212973,22679810,3.1,4898030,27.5,2221,328,17.3,886344,324,437,액션,맷 리브스,로버트 패틴슨,폴 다노,"15세이상관람가"
더 보이,634174840,20199822,158757340,2.1,-26575743,-14.3,17519,-2991,-14.6,71610,488,1184,공포(호러),데이빗 야로베스키,잭슨 A. 던,엘리자베스 뱅크스,"15세이상관람가"
더 비지트,380162881,20155639,25443400,1.6,-1342700,-5,3414,-195,-5.4,49159,253,496,스릴러,M. 나이트 샤말란,디애너 듀나건,피터 맥로비,"15세이상관람가"
더 서클,464770600,20176201,44749600,2.8,-72223800,-61.7,5932,-7552,-56,56050,161,680,드라마,제임스 폰솔트,엠마 왓슨,톰 행크스,"12세이상관람가"
더 셰프,1434825848,20155277,21429000,1.1,-23451600,-52.3,2775,-2754,-49.8,180050,211,324,드라마,존 웰스,브래들리 쿠퍼,시에나 밀러,"15세이상관람가"
더 수어사이드 스쿼드,4288949190,20217845,32364430,0.7,12793920,65.4,3047,1212,66,408026,125,148,액션,제임스 건,마고 로비,이드리스 엘바,청소년관람불가
더 스파이,2749072790,20216703,16352630,1.2,5935410,57,1781,668,60,297519,287,393,스릴러,도미닉 쿡,베네딕트 컴버배치,메랍 니니트쩨,"15세이상관람가"
더 시그널,794883828,20149288,12252000,0.6,-15554000,-55.9,1628,-1759,-51.9,103547,87,167,SF,윌리엄 유뱅크,브렌튼 스웨이츠,로렌스 피쉬번,"12세이상관람가"
더 시크릿,2714010,20201648,2714010,0.6,2714010,100,381,381,100,381,68,88,스릴러,유발 애들러,누미 라파스,조엘 킨나만,"15세이상관람가"
더 씽,343637089,20126617,34077500,2.1,1664000,5.1,4904,325,7.1,47404,172,531,공포(호러),매티스 반 헤이닌겐 주니어,메리 엘리자베스 윈스티드,조엘 에저튼,"15세이상관람가"
더 와이프,164726157,20196323,8283430,0.2,-3123260,-27.4,1138,-421,-27,20892,53,70,드라마,비욘 룬게,글렌 클로즈,조나단 프라이스,"15세이상관람가"
더 울버린,7763582000,20137121,37759500,0.4,-13734500,-26.7,4489,-1452,-24.4,1066227,93,182,액션,제임스 맨골드,휴 잭맨,사나다 히로유키,"15세이상관람가"
더 울프 오브 월스트리트,4247515500,20136812,73656500,0.7,-8938500,-10.8,9197,-1095,-10.6,553081,86,149,범죄,마틴 스코세이지,레오나르도 디카프리오,매튜 매커너히,청소년관람불가
더 웹툰: 예고살인,8466328570,20129114,13610500,0.4,2895500,27,1924,329,20.6,1190080,44,89,공포(호러),김용균,이시영,엄기준,"15세이상관람가"
더 이퀄라이저,488978900,20145041,105979000,1.6,-11251700,-9.6,12878,-1495,-10.4,62869,246,512,액션,안톤 후쿠아,덴젤 워싱턴,클로이 모레츠,청소년관람불가
더 임파서블,4264758500,20121861,41328000,0.8,7412500,21.9,5752,701,13.9,597875,118,434,액션,후안 안토니오 바요나,이완 맥그리거,나오미 왓츠,"12세이상관람가"
더 자이언트,820418500,20123821,101661500,1.2,47929500,89.2,15563,6611,73.8,130809,171,279,애니메이션,프라파스 콜사라논,김준현,정범균,전체관람가
더 콜,576788500,20138141,74969000,3.3,9886000,15.2,11323,1499,15.3,81712,230,727,스릴러,브래드 앤더슨,할리 베리,아비게일 브레스린,청소년관람불가
더 큐어,1255760200,20167362,86839900,3.7,-15417100,-15.1,11077,-1906,-14.7,150516,399,977,미스터리,고어 버빈스키,데인 드한,제이슨 아이삭스,청소년관람불가
더 크리스마스,389282400,20176022,18927100,0.4,-120234300,-86.4,3024,-14645,-82.9,52161,118,140,애니메이션,티모시 렉카트,스티븐 연,지나 로드리게즈,전체관람가
더 킬러: 죽어도 되는 아이,351862320,20225186,112124480,1.5,37663720,50.6,10328,3096,42.8,34549,314,510,액션,최재훈,장혁,이서영,청소년관람불가
더 킹,42801920035,20151229,387276800,4.7,163855000,73.3,45802,19146,71.8,5229909,477,1211,범죄,한재림,조인성,정우성,"15세이상관람가"
더 킹: 헨리 5세,66094360,20198961,21689440,0.4,7086620,48.5,2621,827,46.1,8394,146,238,드라마,데이비드 미쇼,티모시 샬라메,조엘 에저튼,청소년관람불가
더 터닝 ,97195700,20205841,8002080,6.4,-13808120,-63.3,976,-1386,-58.7,10991,204,321,미스터리,플로리아 시지스몬디,맥켄지 데이비스,핀 울프하드,"15세이상관람가"
더 테러 라이브,39791570817,20136052,16699500,0.6,3987000,31.4,2290,406,21.5,5573329,92,202,범죄,김병우,하정우,이경영,"15세이상관람가"
더 파더,150004770,20200065,28276130,2.7,-2859840,-9.2,3071,-276,-8.2,17150,330,479,드라마,플로리안 젤러,안소니 홉킨스,올리비아 콜맨,"12세이상관람가"
더 파이브,4828665500,20134801,139252500,8.2,-8530500,-5.8,20371,-1194,-5.5,659622,347,1255,스릴러,정연식,김선아,마동석,청소년관람불가
더 퍼지,858158000,20139601,88777000,5.3,-96641000,-52.1,12436,-10839,-46.6,112967,217,683,스릴러,제임스 드모나코,에단 호크,레나 헤디,청소년관람불가
더 퍼지 : 거리의 반란,417984900,20149831,36096500,1.8,-29303600,-44.8,4680,-3245,-40.9,54960,192,455,공포(호러),제임스 드모나코,프랭크 그릴로,자크 길포드,청소년관람불가
더 페이버릿: 여왕의 여자,1142403730,20180937,19120400,1,-23384980,-55,2409,-2253,-48.3,135917,90,176,드라마,요르고스 란티모스,올리비아 콜맨,엠마 스톤,"15세이상관람가"
더 포스트,885763000,20189861,49190300,1,-2455400,-4.8,5835,-213,-3.5,111760,123,200,드라마,스티븐 스필버그,톰 행크스,메릴 스트립,"12세이상관람가"
더 폰,12222775968,20157464,33293100,0.9,-12010400,-26.5,4724,-1458,-23.6,1581593,199,395,스릴러,김봉주,손현주,엄지원,"15세이상관람가"
더 프레데터,1326041614,20188581,295381850,6.8,-90423530,-23.4,31818,-9794,-23.5,149398,543,2403,SF,쉐인 블랙,올리비아 문,보이드 홀브룩,청소년관람불가
더 프롬,190772750,20200554,4480200,1.3,1753290,64.3,501,177,54.6,21989,151,171,코미디,라이언 머피,메릴 스트립,제임스 코든,"12세이상관람가"
더 프린세스 : 도둑맞은 공주,331278090,20188362,85793320,1.5,-25610940,-23,10006,-3144,-23.9,40168,412,592,애니메이션,올레말라므,사문영,남도형,전체관람가
더블패티,131378460,20200311,8190000,0.9,8190000,100,819,819,100,15271,4,4,드라마,백승환,신승호,배주현,"15세이상관람가"
덕구,2156377700,20181561,77166700,2,39251400,103.5,9611,4628,92.9,283146,249,486,드라마,방수인,이순재,정지훈,전체관람가
덕수리 5형제,1580842200,20134588,28556000,1.1,1290300,4.7,4191,358,9.3,209327,181,355,코미디,전형준,윤상현,송새벽,"15세이상관람가"
덕혜옹주,44155083009,20150979,34217500,0.4,978600,2.9,4108,105,2.6,5568719,241,361,사극,허진호,손예진,박해일,"12세이상관람가"
덤 앤 더머 투,1311647985,20149287,51509000,0.8,23079000,81.2,6583,2726,70.7,175155,150,241,코미디,바비 패럴리,짐 캐리,토미 스나이더,"15세이상관람가"
덤보,2173582202,20196025,219028530,4.2,191207200,687.3,27043,23663,700.1,269816,509,876,가족,팀 버튼,콜린 파렐,마이클 키튼,전체관람가
덩케르크,24758760848,20164621,21872000,3.1,1345000,6.6,1319,33,2.6,2809062,17,27,액션,크리스토퍼 놀란,톰 하디,마크 라이런스,"12세이상관람가"
데드풀,27516607451,20153781,29216200,3,-51642200,-63.9,3750,-5360,-58.8,3307311,207,417,액션,팀 밀러,라이언 레이놀즈,모레나 바카린,청소년관람불가
데드풀 2,34108847339,20176848,20164000,0.3,5118200,34,2136,468,28.1,3775924,52,83,액션,데이빗 레이치,라이언 레이놀즈,조슈 브롤린,청소년관람불가
데모닉,290862400,20159223,24758400,0.9,2957200,13.6,3372,379,12.7,38169,131,252,공포(호러),윌 캐논,마리아 벨로,프랭크 그릴로,"15세이상관람가"
데몰리션,163221321,20163961,53031660,0.5,16304499,44.4,6137,1765,40.4,20099,184,281,드라마,장 마크 발레,제이크 질렌할,나오미 왓츠,청소년관람불가
데스노트: 더 뉴 월드,138900663,20167005,48400829,0.6,19888395,69.8,5865,2407,69.6,18395,273,398,범죄,사토 신스케,히가시데 마사히로,이케마츠 소스케,"15세이상관람가"
데인저러스 메소드,158587800,20125649,17688800,1.2,279300,1.6,2475,4,0.2,21107,92,255,멜로/로맨스,데이빗 크로넨버그,키이라 나이틀리,비고 모텐슨,청소년관람불가
데자뷰,202399300,20173865,48658200,1.8,335000,0.7,5872,-266,-4.3,28889,465,1239,미스터리,고경민,남규리,이천희,"15세이상관람가"
도굴,13930885820,20192193,12562310,3.9,6879440,121.1,1337,723,117.8,1541985,203,252,범죄,박정배,이제훈,조우진,"12세이상관람가"
도둑들,93621814000,20124034,21996000,0.2,-15956000,-42,3151,-2420,-43.4,12976528,30,54,액션,최동훈,김윤석,김혜수,"15세이상관람가"
도라에몽 : 스탠 바이 미,3372986829,20144322,129663100,2.2,-11792100,-8.3,17412,-2086,-10.7,462056,273,425,애니메이션,야마자키 타카시,미즈타 와사비,오오하라 메구미,전체관람가
도라에몽: 스탠바이미 2,690858080,20217478,21397660,0.7,3201780,17.6,2471,368,17.5,79332,165,191,애니메이션,야기 류이치,윤아영,김정아,전체관람가
도리를 찾아서,20311912833,20159058,131062600,0.8,21309400,19.4,16531,2647,19.1,2549166,168,233,애니메이션,앤드류 스탠튼,엘렌 드제너스,알버트 브룩스,전체관람가
도리화가,1888063739,20140144,118894600,5.8,-14751300,-11,17255,-2085,-10.8,264848,458,1762,사극,이종필,류승룡,배수지,"12세이상관람가"
도망친 여자,39720310,20205001,4274460,1.3,-4302420,-50.2,538,-425,-44.1,4622,123,167,드라마,홍상수,김민희,서영화,청소년관람불가
도성풍운 3,17950000,20162207,8079000,0.3,-1792000,-18.2,1579,-260,-14.1,3418,31,31,코미디,왕정,주윤발,유덕화,"15세이상관람가"
도어락,12556946186,20179230,51769750,1,9481150,22.4,6514,646,11,1531545,160,225,스릴러,이권,공효진,김예원,"15세이상관람가"
도어맨,36015100,20223397,3159500,1.1,-3524400,-52.7,368,-384,-51.1,4217,96,132,액션,기타무라 류헤이,루비 로즈,장 르노,"15세이상관람가"
도쿄 리벤저스,74693700,20211238,11106960,1.2,-2453380,-18.1,1120,-345,-23.5,8841,186,278,드라마,하나부사 츠토무,키타무라 타쿠미,요시자와 료,"15세이상관람가"
도희야,648501000,20134586,64599200,3.1,-98349500,-60.4,8674,-10911,-55.7,81067,295,1046,드라마,정주리,배두나,김새론,청소년관람불가
독수리 에디,1625823720,20161964,77377900,1.9,37839200,95.7,9178,4145,82.4,204284,251,457,드라마,덱스터 플레처,태런 에저튼,폴 레이놀즈,"12세이상관람가"
독전,43399545713,20179383,85542900,1.4,-25651700,-23.1,9334,-2964,-24.1,5053105,244,449,범죄,이해영,조진웅,류준열,"15세이상관람가"
독전: 익스텐디드 컷,514864400,20188042,186580800,2.2,72474200,63.5,30294,11829,64.1,83586,398,900,범죄,이해영,조진웅,류준열,"15세이상관람가"
돈,28783498492,20176103,119269360,5.3,-20231950,-14.5,13477,-2365,-14.9,3378078,404,914,범죄,박누리,류준열,유지태,"15세이상관람가"
돈 룩 업,680192470,20212015,7090810,0.3,2058330,40.9,862,310,56.2,69789,174,196,코미디,아담 맥케이,레오나르도 디카프리오,제니퍼 로렌스,"15세이상관람가"
돈 크라이 마미,6747378099,20124348,29891000,1.5,6464500,27.6,4473,983,28.2,964689,191,470,스릴러,김용한,유선,남보라,"15세이상관람가"
돈의 맛,8756073611,20124064,9056500,0.5,486500,5.7,1301,49,3.9,1162772,88,187,드라마,임상수,김강우,백윤식,청소년관람불가
돌멩이,123757960,20181162,5280600,0.8,-4209410,-44.4,672,-532,-44.2,14680,205,240,드라마,김정식,김대명,송윤아,"12세이상관람가"
돌아온 파워레인저 미라클포스,176837500,20124738,119120000,2,67624500,131.3,17287,9326,117.1,26285,235,637,액션,나가이시 다카오,치바 유다이,사토 리카,전체관람가
돌연변이,721395384,20145501,24248800,0.5,-5683900,-19,2966,-774,-20.7,96374,59,110,드라마,권오광,이광수,이천희,"12세이상관람가"
동급생,58133000,20163322,20142500,0.2,5122000,34.1,2726,763,38.9,7877,96,140,애니메이션,나카무라 쇼코,카미야 히로시,노지마 켄지,"15세이상관람가"
동네사람들,3796562762,20170513,26178800,0.9,-2258200,-7.9,3969,-178,-4.3,458565,231,382,액션,임진순,마동석,김새론,"15세이상관람가"
동백,98791770,20217167,8373000,1,4648000,124.8,1181,749,173.4,13415,15,18,드라마,신준영,박근형,신복숙,"12세이상관람가"
동주,8614157189,20158482,43103500,0.7,20938500,94.5,5309,2514,89.9,1134078,110,168,드라마,이준익,강하늘,박정민,"12세이상관람가"
동창생,6960667626,20127595,12944500,0.8,-3108000,-19.4,2347,-717,-23.4,1037563,97,199,액션,박홍수,최승현,한예리,"15세이상관람가"
두 개의 달,2909192026,20125916,71197000,2.4,-4093000,-5.4,10682,-632,-5.6,420613,233,642,공포(호러),김동빈,박한별,김지석,"15세이상관람가"
두 개의 문,354217100,20112443,14093500,0.3,-11266300,-44.4,2164,-1891,-46.6,51350,37,51,다큐멘터리,홍지유,정태현,이종걸,"15세이상관람가"
두 남자,440896921,20160472,29060400,1.5,970600,3.5,3980,136,3.5,57778,335,770,범죄,이성태,마동석,최민호,청소년관람불가
두 번의 결혼식과 한 번의 장례식,265716200,20124061,15782500,0.2,-1393200,-8.1,1993,-182,-8.4,35168,34,58,코미디,김조광수,김동윤,류현경,"15세이상관람가"
두근두근 내 인생,12152263534,20134594,25422700,1.1,-1427500,-5.3,3492,-971,-21.8,1605327,161,314,드라마,이재용,김승욱,송혜교,"12세이상관람가"
두레소리,205985500,20111416,8080500,0.5,-8042500,-49.9,1215,-1021,-45.7,30888,119,324,드라마,조정래,김슬기,조아름,"12세이상관람가"
두번할까요,1244493820,20185361,92828780,6.3,-163468260,-63.8,11738,-17112,-59.3,148002,550,1769,코미디,박용집,권상우,홍근택,"15세이상관람가"
뒤틀린 집,184246800,20225180,53967100,0.7,11642400,27.5,5089,596,13.3,19244,156,264,공포(호러),강동헌,서영희,김민재,"15세이상관람가"
듄,17710367510,20210087,19910500,2.5,-34951500,-63.7,1341,-2474,-64.8,1605541,20,48,SF,드니 빌뇌브,티모시 샬라메,레베카 퍼거슨,"12세이상관람가"
드라이브,207160090,20112692,14553080,1.1,-909620,-5.9,1639,-109,-6.2,26072,125,170,액션,니콜라스 윈딩 레픈,라이언 고슬링,캐리 멀리건,청소년관람불가
드라이브 마이 카,366135460,20218415,12623100,0.4,-914250,-6.8,1237,-79,-6,38796,50,64,드라마,하마구치 류스케,니시지마 히데토시,미우라 토코,"15세이상관람가"
드라큘라: 전설의 시작,10297905708,20141261,192624500,4.1,104663300,119,23998,12459,108,1282545,277,700,판타지,개리 쇼어,루크 에반스,도미닉 쿠퍼,"15세이상관람가"
드래곤 길들이기 2,23042658289,20131248,301820500,2.4,-41221600,-12,37661,-5778,-13.3,2876022,245,460,애니메이션,딘 데블로이스,제이 바루첼,제라드 버틀러,전체관람가
드래곤 길들이기 3,12120969306,20186261,113203950,1.4,60314570,114,14474,6737,87.1,1479215,203,262,애니메이션,딘 데블로이스,제이 바루첼,아메리카 페레라,전체관람가
드래곤 블레이드,412058300,20156704,9397000,0.5,8900000,1790.7,1245,1182,1876.2,54112,7,8,액션,이인항,성룡,존 쿠삭,"15세이상관람가"
드래곤볼 슈퍼: 브로리,176562880,20195984,71706800,0.8,30998610,76.1,8084,3583,79.6,20696,201,298,애니메이션,나가미네 타츠야,노자와 마사코,호리카와 료,전체관람가
드래곤볼 슈퍼: 슈퍼 히어로,71639903,20225057,20935337,0.9,3568941,20.6,1831,179,10.8,6698,317,593,애니메이션,코다마 테츠로,노자와 마사코,후루카와 토시오,"12세이상관람가"
드레스메이커,407731400,20150456,30891200,1.2,-14788600,-32.4,4177,-1811,-30.2,51333,159,337,드라마,조셀린 무어하우스,케이트 윈슬렛,주디 데이비스,"15세이상관람가"
드림 쏭,715785500,20167154,315893900,2.4,138355500,77.9,39848,18078,83,89405,399,674,애니메이션,애쉬 브래넌,J.K. 시몬스,루크 윌슨,전체관람가
드림걸즈,4522871700,20060423,6750200,0.6,6750200,100,770,770,100,718897,112,170,드라마,빌 콘돈,제이미 폭스,비욘세 놀즈,"15세이상관람가"
디노타샤: 공룡대탐험,100696000,20147161,41164500,0.3,23754000,136.4,5757,3379,142.1,14221,129,166,애니메이션,데이빗 크렌츠,박지윤,곽윤상,전체관람가
디바,901717350,20190601,2878000,1.4,2878000,100,575,575,100,108122,3,6,스릴러,조슬예,신민아,이유영,"15세이상관람가"
디스 민즈 워,6645634000,20124096,4867500,0.2,1789500,58.1,620,179,40.6,871349,17,42,액션,맥지,리즈 위더스푼,크리스 파인,"15세이상관람가"
디스커넥트,130039204,20134073,14177500,0.8,-14267000,-50.2,2065,-1645,-44.3,18860,104,216,드라마,헨리 알렉스 루빈,제이슨 베이트먼,알렉산더 스카스가드,청소년관람불가
디어 에반 핸슨,923175100,20210244,23887910,1.4,3511000,17.2,2275,138,6.5,91315,250,289,뮤지컬,스티븐 크보스키,벤 플랫,줄리안 무어,"12세이상관람가"
디트로이트,47546300,20184668,19179100,0.7,-855100,-4.3,2140,-346,-13.9,5770,108,229,스릴러,캐서린 비글로우,존 보예가,안소니 마키,"15세이상관람가"
딥,1575614200,20170964,8687500,0.4,1599000,22.6,1279,110,9.4,203145,166,186,애니메이션,줄리오 소토 거피드,심규혁,사문영,전체관람가
딥워터 호라이즌,714396543,20168154,20698300,0.7,-42037400,-67,2845,-5675,-66.6,91981,218,392,액션,피터 버그,마크 월버그,딜런 오브라이언,"12세이상관람가"
"땡큐, 대디",170357061,20157021,34149500,0.3,74421,0.2,4470,58,1.3,23487,241,418,드라마,닐스 타베니어,자크 검블린,알렉산드라 라미,전체관람가
또 하나의 약속,3267446900,20122787,43131100,1.7,3726000,9.5,6662,868,15,461473,150,392,드라마,김태윤,우혜영,박철민,"12세이상관람가"
뚜르: 내 생애 최고의 49일,166360400,20154342,9932100,0.5,-8747900,-46.8,1464,-872,-37.3,21667,197,283,다큐멘터리,전일우,이윤혁,전일우,"12세이상관람가"
뜨거운 안녕,181410000,20127597,70753000,1.2,28163000,66.1,10244,3883,61,27151,168,595,드라마,남택수,이홍기,마동석,"12세이상관람가"
뜨거운 피,3585859470,20199500,16057900,0.7,7804100,94.6,1541,711,85.7,372249,139,204,범죄,천명관,정우,김갑수,"15세이상관람가"
뜨거운 피: 디 오리지널,22205000,20225055,22205000,0.7,22205000,100,2872,2872,100,2872,59,60,액션,천명관,정우,김갑수,청소년관람불가
라라걸,67502580,20206447,5380980,3.8,384320,7.7,685,71,11.6,7729,146,191,드라마,레이첼 그리피스,테레사 팔머,샘 닐,전체관람가
라라랜드,31019470508,20167904,12264000,0.1,12264000,100,2022,2022,100,3761809,4,12,드라마,데이미언 셔젤,엠마 스톤,라이언 고슬링,"12세이상관람가"
라스트 나잇 인 소호,347140710,20210663,22157220,3.5,-32523900,-59.5,2335,-2730,-53.9,36190,387,745,공포(호러),에드가 라이트,토마신 맥켄지,안야 테일러 조이,청소년관람불가
라스트 듀얼: 최후의 결투,516301020,20219115,13524420,1.6,-20390410,-60.1,1376,-2062,-60,53936,213,289,액션,리들리 스콧,맷 데이먼,아담 드라이버,청소년관람불가
라스트 레터,31557890,20215862,7587840,1,33670,0.4,871,-33,-3.7,3990,136,214,멜로/로맨스,이와이 ?지,마츠 다카코,히로세 스즈,전체관람가
라스트 미션,801569659,20197356,10424550,0.7,-1827500,-14.9,1465,-191,-11.5,96597,105,171,드라마,클린트 이스트우드,클린트 이스트우드,타이사 파미가,"15세이상관람가"
라스트 스탠드,420724500,20123422,46727500,1.5,6630000,16.5,6803,926,15.8,56958,275,947,액션,김지운,아놀드 슈왈제네거,포레스트 휘테커,청소년관람불가
라스트 엑소시즘: 잠들지 않는 영혼,51649500,20139222,7048000,0.3,-5384000,-43.3,1027,-679,-39.8,7232,85,165,공포(호러),에드 게스-도넬리,애슐리 벨,스펜서 트리트 클라크,"15세이상관람가"
라스트 위치 헌터,913635800,20157197,31948900,1.3,-2226300,-6.5,4171,-303,-6.8,119264,220,414,액션,브렉 에이즈너,빈 디젤,일라이저 우드,"15세이상관람가"
라스트 크리스마스,1942317550,20197278,44283120,2.2,-43127440,-49.3,5720,-4293,-42.9,234822,321,506,코미디,폴 페이그,에밀리아 클라크,엠마 톰슨,"12세이상관람가"
라스트 풀 메저,78744500,20208663,6081560,2.7,-507860,-7.7,781,-77,-9,9851,234,303,드라마,토드 로빈슨,세바스찬 스탠,사무엘 L. 잭슨,"15세이상관람가"
