"movieNm","salesAcc","movieCd","salesAmt","salesShare","salesInten","salesChange","audiCnt","audiInten","audiChange","audiAcc","scrnCnt","showCnt","genreNm","dir_peopleNm","act_peopleNm1","act_peopleNm2","watchGradeNm"
인트로덕션,26209320,20216241,2390630,0.3,60670,2.6,284,10,3.6,2935,81,105,기타,홍상수,신석호,박미소,"12세이상관람가"
인페르노,5547604303,20156007,58611700,1,-10777100,-15.5,6812,-1202,-15,675249,161,263,미스터리,론 하워드,톰 행크스,펠리시티 존스,"15세이상관람가"
인피니트 콘서트 세컨드 인베이전 에볼루션 더 무비 3D,351722500,20129146,14437000,1,3068000,27,1310,292,28.7,33723,71,92,공연,손석,김성규,장동우,전체관람가
일대일,11327000,20148447,8393000,0.4,8393000,100,1199,1199,100,1525,5,5,드라마,김기덕,마동석,이인경,청소년관람불가
일대종사,413223000,20139072,40447000,1.5,-56181500,-58.1,6044,-7061,-53.9,57332,181,558,액션,왕가위,양조위,장쯔이,"12세이상관람가"
일사각오,256787500,20162381,28926400,0.5,6247000,27.5,3801,688,22.1,34583,42,68,드라마,권혁만,이지형,오우철,"12세이상관람가"
잃어버린 도시 Z,329185240,20168241,24110700,1.8,-70400,-0.3,3346,-97,-2.8,42354,352,793,액션,제임스 그레이,찰리 허냄,로버트 패틴슨,"12세이상관람가"
잃어버린 세계를 찾아서 2: 신비의 섬,9727699000,20113653,16776000,0.8,-1315500,-7.3,2270,-366,-13.9,1141672,158,331,액션,브래드 페이튼,드웨인 존슨,마이클 케인,전체관람가
잃어버린 얼굴 1895,135487000,20215809,7321000,0.8,-4379000,-37.4,1464,-246,-14.4,9558,10,12,뮤지컬,이지나,차지연,김용한,전체관람가
임금님의 사건수첩,12594213823,20161726,37198500,2.4,-8767300,-19.1,5704,-898,-13.6,1625024,371,677,코미디,문현성,이선균,안재홍,"12세이상관람가"
임을 위한 행진곡,65015200,20182323,14730700,0.4,14730700,100,1942,1942,100,7834,139,255,드라마,박기복,김꽃비,김부선,"15세이상관람가"
자백,439219942,20198429,352699650,25.3,340654650,2828.2,43692,42889,5341.1,52017,1103,4604,범죄,윤종석,소지섭,김윤진,"15세이상관람가"
자산어보,2883880040,20197434,13351910,3.2,-26938670,-66.9,1526,-2756,-64.4,325230,338,471,사극,이준익,설경구,변요한,"12세이상관람가"
자전차왕 엄복동,784790060,20176442,295987110,3.8,129034210,77.3,35351,13225,59.8,108601,587,1603,드라마,김유성,정지훈,강소라,"12세이상관람가"
자칼이 온다,1403531500,20126089,16389000,0.8,2745500,20.1,2657,416,18.6,206329,119,244,코미디,배형준,송지효,김재중,"15세이상관람가"
작은 아씨들,7132014670,20192240,23906820,4,10413720,77.2,2694,1166,76.3,845784,246,384,드라마,그레타 거윅,시얼샤 로넌,엠마 왓슨,전체관람가
잔칫날,56134850,20197853,10537370,1.8,-1264060,-10.7,1285,-133,-9.4,7073,236,351,드라마,김록경,이지현,하준,"12세이상관람가"
잠베지아: 신비한 나무섬의 비밀,3276806500,20126388,18213000,0.7,-3527500,-16.2,3000,-572,-16,464247,129,196,애니메이션,웨인 쏜리,사무엘 L. 잭슨,아비게일 브레스린,전체관람가
잡스,1435173136,20139265,37462500,1.4,13342000,55.3,5181,1629,45.9,203247,188,350,드라마,조슈아 마이클 스턴,애쉬튼 커처,조시 게드,"12세이상관람가"
장고:분노의 추적자,1694180500,20126306,31941500,2.1,-67088000,-67.7,4775,-8120,-63,233996,196,413,서부극(웨스턴),쿠엔틴 타란티노,레오나르도 디카프리오,제이미 폭스,청소년관람불가
장난감이 살아있다,821311800,20166721,134401200,1,54341900,67.9,16606,6799,69.3,105557,216,295,애니메이션,후안 호세 캄파넬라,니콜라스 홀트,아리아나 그란데,전체관람가
장난스런 키스,2285179028,20183773,315510970,6.1,172724380,121,37263,20798,126.3,283818,433,899,멜로/로맨스,프랭키 첸,왕대륙,임윤,"12세이상관람가"
장르만 로맨스,5088553850,20191243,14121110,2.2,-30689210,-68.5,1680,-2883,-63.2,505983,284,393,드라마,조은지,류승룡,오나라,"15세이상관람가"
장사리 : 잊혀진 영웅들,8881865410,20193601,24888460,1.5,-371860,-1.5,3707,-1,0,1120721,246,404,전쟁,곽경택,김명민,최민호,"12세이상관람가"
장산범,9698304877,20151003,131723118,4,44527918,51.1,15711,4159,36,1226893,341,823,미스터리,허정,염정아,박혁권,"15세이상관람가"
장수상회,8703379643,20140703,9188000,0.4,1475500,19.1,1571,354,29.1,1159127,16,22,멜로/로맨스,강제규,박해빛나,박근형,"12세이상관람가"
장화신은 고양이,17341593000,20113862,29851000,1.4,-2887000,-8.8,4042,-333,-7.6,2044499,211,443,애니메이션,크리스 밀러,안토니오 반데라스,셀마 헤이엑,전체관람가
장화신은 고양이 디 오리지널,23035000,20125915,21389000,0.2,20449000,2175.4,3255,3087,1837.5,3572,47,113,애니메이션,제롬 데스챔프,제롬 데스챔프,욜랭드 모로,전체관람가
재심,19250415637,20166421,12502000,0.8,2453000,24.4,1952,530,37.3,2418627,147,222,드라마,김태윤,정우,강하늘,"15세이상관람가"
잭 더 자이언트 킬러,7218509500,20123641,81601500,1.5,59852500,275.2,11545,8442,272.1,933238,172,376,판타지,브라이언 싱어,니콜라스 홀트,이완 맥그리거,"12세이상관람가"
잭 라이언 : 코드네임 쉐도우,2336624000,20136337,33227000,0.3,-11626000,-25.9,4529,-1562,-25.6,319299,144,214,액션,케네스 브래너,크리스 파인,키이라 나이틀리,"12세이상관람가"
